FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.55,23.88
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.8,23.9
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,81,23.92
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC8,79.85,23.3
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC8,79.95,23.1
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC8,80.1,22.9
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC8,80.25,22.7
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,3,TAPTI NORTH FAULT,FIBC9,79.58,22.95
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,3,TAPTI NORTH FAULT,FIBC9,79.63,23
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,3,TAPTI NORTH FAULT,FIBC9,79.9,23.15
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,FIBC10,79.95,23.17
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,FIBC10,80,23.2
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,FIBC10,80.35,23.36
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,FIBC10,80.65,23.55
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,FIBC11,79.25,21.95
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,FIBC11,79.3,22
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,FIBC11,79.42,22.05
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,FIBC11,79.6,22.1
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,6,TAPTI NORTH FAULT,FIBC12,79.4,21.95
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,6,TAPTI NORTH FAULT,FIBC12,79.45,22
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,6,TAPTI NORTH FAULT,FIBC12,79.63,22.08
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,7,TAPTI NORTH FAULT,FIBC13,79.2,21.7
